Timestamp,gender,age-group,district,city,marital-status,education,employment-status,field of work,income,banking-app-user,frequency,purposes,banking-app,application-interface,Security,Time saving,availability-of-services
2020/10/31 12:14:44 AM GMT+5:30,Female,18 - 25,Monaragala,Bibile,Single,Bachelor's degree or equivalent,Yes,Architecture and engineering,"101,000 - 150,000",Yes,Less than 5 times per week,For online money transfer to family and friends;To pay bills / reloads / standing orders;To check balance and transaction history;Manage savings accounts;Top up mobile credits,BApp – Bank of Ceylon,Unsatisfied,Neutral,Satisfied,Satisfied
2020/10/31 7:46:29 AM GMT+5:30,Male,26 - 35,Matara,Matara,Single,Bachelor's degree or equivalent,Yes,Law and public policy,"Less than 50,000",Yes,1 - 5 times per day,To pay bills / reloads / standing orders,Sampath Bank Mobile App - Sampath Bank,Very Unsatisfied,Very Unsatisfied,Very Unsatisfied,Very Unsatisfied
2020/10/31 11:33:09 AM GMT+5:30,Female,26 - 35,Kalutara,Panadura ,Single,Diploma  or equivalent,No,Architecture and engineering,,No,,,,,,,
2020/10/31 11:36:37 AM GMT+5:30,Female,18 - 25,Kalutara,Horana,Single,Bachelor's degree or equivalent,Yes,Science and technology,"50,000 - 100,000",Yes,1 - 10 times per month,For online money transfer to family and friends;To pay bills / reloads / standing orders;To check balance and transaction history;Manage savings accounts,Nations Mobile Banking – Nations Trust Bank,Satisfied,Satisfied,Neutral,Neutral
2020/10/31 11:38:44 AM GMT+5:30,Male,26 - 35,Jaffna,,Single,Bachelor's degree or equivalent,Yes,Education,"Less than 50,000",Yes,Less than 5 times per week,For online money transfer to family and friends;To pay bills / reloads / standing orders;To check balance and transaction history,BOC Smart Pay - Bank of Ceylon;Combank Digital – Commercial Bank,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
2020/10/31 11:41:04 AM GMT+5:30,Male,18 - 25,Kalutara,wadduwa,Single,Bachelor's degree or equivalent,Yes,Software engineering,"101,000 - 150,000",Yes,1 - 5 times per day,For online money transfer to family and friends;To pay bills / reloads / standing orders;To check balance and transaction history;Manage savings accounts;Manage fixed deposits;Top up mobile credits,BOC Smart Pay - Bank of Ceylon;Seylan bank app,Satisfied,Satisfied,Satisfied,Satisfied
2020/10/31 11:44:17 AM GMT+5:30,Female,18 - 25,Badulla,Bandarawela,Single,Bachelor's degree or equivalent,No,Environmental conservation and management ,,No,,,,,,,
2020/10/31 11:48:11 AM GMT+5:30,Female,26 - 35,Ratnapura,Rathnapura ,Single,Bachelor's degree or equivalent,Yes,Science and technology,"50,000 - 100,000",Yes,Less than once a year,To check balance and transaction history,BOC Smart Pay - Bank of Ceylon,Satisfied,Satisfied,Unsatisfied,Unsatisfied
2020/10/31 11:48:46 AM GMT+5:30,Male,18 - 25,Kurunegala,Kurunegala,Single,Bachelor's degree or equivalent,Yes,IT,"50,000 - 100,000",Yes,Less than 5 times per week,For online money transfer to family and friends;To pay bills / reloads / standing orders;To check balance and transaction history;Top up mobile credits,Frimi - Nations Trust Bank;WePay - Sampath Bank,Satisfied,Satisfied,Very Satisfied,Very Satisfied
2020/10/31 11:49:01 AM GMT+5:30,Male,Below 18,Colombo,Kahathuduwa,Single,Advanced Level  or equivalent,No,Science and technology,,No,,,,,,,
2020/10/31 11:49:33 AM GMT+5:30,Male,18 - 25,Badulla,Bandarawela ,Single,Diploma  or equivalent,Yes,Sales,"Less than 50,000",Yes,Less than 5 times per week,For online money transfer to family and friends;To pay bills / reloads / standing orders;Loan payments;To check balance and transaction history;Manage savings accounts;Top up mobile credits,Nations Mobile Banking – Nations Trust Bank;Frimi - Nations Trust Bank,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
2020/10/31 12:01:05 PM GMT+5:30,Male,18 - 25,Badulla,Bandarawela,Single,Diploma  or equivalent,Yes,Sales,"101,000 - 150,000",Yes,1 - 10 times per month,For online money transfer to family and friends;To pay bills / reloads / standing orders;To check balance and transaction history;Manage savings accounts,Nations Mobile Banking – Nations Trust Bank,Very Unsatisfied,Very Unsatisfied,Very Unsatisfied,Very Unsatisfied
2020/10/31 12:02:17 PM GMT+5:30,Female,18 - 25,Colombo,Kaduwela,Single,Bachelor's degree or equivalent,Yes,Education,"50,000 - 100,000",Yes,Less than 5 times per week,To pay bills / reloads / standing orders;To check balance and transaction history;Manage savings accounts,BOC Smart Pay - Bank of Ceylon;Frimi - Nations Trust Bank,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
2020/10/31 12:04:41 PM GMT+5:30,Female,26 - 35,Gampaha,Veyangoda ,Single,Bachelor's degree or equivalent,Yes,Science and technology,"101,000 - 150,000",Yes,Less than 5 times per week,For online money transfer to family and friends;To pay bills / reloads / standing orders;To check balance and transaction history;Manage savings accounts;Mange current accounts;Manage fixed deposits;Top up mobile credits,Frimi - Nations Trust Bank,Satisfied,Neutral,Satisfied,Satisfied
2020/10/31 12:14:40 PM GMT+5:30,Male,26 - 35,Colombo,Katubadde,Single,Bachelor's degree or equivalent,Yes,Architecture and engineering,"Less than 50,000",No,,,,,,,
2020/10/31 12:19:23 PM GMT+5:30,Female,18 - 25,Colombo,Nugegoda ,Single,Bachelor's degree or equivalent,Yes,"Business, management and administration","Less than 50,000",No,,,,,,,
2020/10/31 12:30:18 PM GMT+5:30,Male,26 - 35,Kurunegala,Katupoth,Single,Bachelor's degree or equivalent,Yes,Information Technology,"Less than 50,000",Yes,Less than 5 times per week,For online money transfer to family and friends;To pay bills / reloads / standing orders;Loan payments;To check balance and transaction history;To submit online requests to banks;Manage savings accounts;Mange current accounts;Top up mobile credits,Frimi - Nations Trust Bank,Satisfied,Satisfied,Very Satisfied,Satisfied
2020/10/31 12:30:52 PM GMT+5:30,Female,26 - 35,Colombo,Pannipitiya ,Single,Bachelor's degree or equivalent,Yes,Science and technology,"50,000 - 100,000",Yes,1 - 10 times per month,For online money transfer to family and friends;To pay bills / reloads / standing orders;To check balance and transaction history,BApp – Bank of Ceylon;Sampath Bank Mobile App - Sampath Bank,Satisfied,Satisfied,Very Satisfied,Satisfied
2020/10/31 12:33:03 PM GMT+5:30,Female,26 - 35,Colombo,Battaramulla ,Single,Bachelor's degree or equivalent,Yes,Architecture and engineering,"151,000 - 200,000",Yes,1 - 5 times per day,For online money transfer to family and friends;To pay bills / reloads / standing orders;Loan payments;To check balance and transaction history;To submit online requests to banks;Manage savings accounts;Manage fixed deposits;Top up mobile credits,"BApp – Bank of Ceylon;Sampath Bank Mobile App - Sampath Bank;Hsbc, nsb, hnb",Neutral,Satisfied,Very Satisfied,Very Satisfied
2020/10/31 12:34:18 PM GMT+5:30,Prefer not to disclose,26 - 35,Colombo,,Married,Bachelor's degree or equivalent,Yes,Science and technology,"Above 200,000",Yes,Less than 5 times per week,For online money transfer to family and friends;To pay bills / reloads / standing orders;Loan payments;To check balance and transaction history;Top up mobile credits,BApp – Bank of Ceylon;Sampath Bank Mobile App - Sampath Bank,Neutral,Satisfied,Satisfied,Satisfied
2020/10/31 12:35:54 PM GMT+5:30,Male,18 - 25,Colombo,Athurugiriya ,Single,Diploma  or equivalent,Yes,Health and medicine,"50,000 - 100,000",Yes,1 - 5 times per day,For online money transfer to family and friends;To pay bills / reloads / standing orders;Loan payments;To check balance and transaction history,Nations Mobile Banking – Nations Trust Bank;Frimi - Nations Trust Bank,Very Satisfied,Satisfied,Satisfied,Neutral
2020/10/31 12:37:39 PM GMT+5:30,Female,26 - 35,Colombo,Battaramulla ,Single,Bachelor's degree or equivalent,Yes,Architecture and engineering,"151,000 - 200,000",Yes,1 - 5 times per day,For online money transfer to family and friends;To pay bills / reloads / standing orders;Loan payments;To check balance and transaction history;To submit online requests to banks;Manage savings accounts;Manage fixed deposits;Top up mobile credits,"BApp – Bank of Ceylon;Sampath Bank Mobile App - Sampath Bank;Hsbc, nsb, hnb",Neutral,Satisfied,Very Satisfied,Very Satisfied
2020/10/31 12:38:51 PM GMT+5:30,Male,26 - 35,Puttalam,Ihala Kottaramulla,Single,Diploma  or equivalent,Yes,Software Engineering,,Yes,1 - 10 times per month,For online money transfer to family and friends;To pay bills / reloads / standing orders;To check balance and transaction history;Manage savings accounts;Top up mobile credits,Combank Digital – Commercial Bank;Frimi - Nations Trust Bank,Satisfied,Satisfied,Very Satisfied,Very Satisfied
2020/10/31 12:50:30 PM GMT+5:30,Prefer not to disclose,18 - 25,Gampaha,Kandana,Single,Bachelor's degree or equivalent,Yes,Science and technology,"50,000 - 100,000",No,,,,,,,
